epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.6468,1.6184,3.07816,1.49439,0.00772,0.81915,0.27226,0.14627,1.57591,3.14209,1.43212,0.00058,0.00058,0.00058
2,229.287,1.56933,2.07969,1.48208,0.00776,0.13032,0.00442,0.00173,2.35328,4.45626,2.92663,0.00115664,0.00115664,0.00115664
